id,titulo,genero,plataformas,ano_lanzamiento,nombre_desarrollador,esta_eliminado
1745335422425,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422426,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",true
1745335422427,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422428,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",true
1745335422429,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422430,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422431,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422432,contra,ARPG,"poly,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422433,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422434,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422435,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422436,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422437,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422438,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422439,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422440,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
1745335422441,contra,ARPG,"poli,celular,Xbox",1987,"Konami, Ocean Software, Hamster Corporation, Digital Eclipse, Backbone Entertainment, Paul Owens",false
